id,source_page,loss,cer,ref_len,multiline,ref,pred
page_0559/line_026,page_0559,0.1035,0.0714,14,False,զկարգ տեղւոյս։,զկարգ տեղւոյյ։
page_0559/line_024,page_0559,0.08,0.1538,39,True,սրբոյ Խաչին։ Միջոց ուտիքն եօթն\nշաբաթ է։,"սրբոյ Խաչին։ Միջոց ուտիքն եօթն
շա�"
page_0543/line_001,page_0543,0.0315,0.431,58,True,Մետասաներորդ Կիւրակէ։ Հարց Յա-\nրութեան։ Ճաշու սաղ. ԿԴ. Քեզ,"Մետասաներորդ Կիւրակէ։ Հարց Յա-
րո�"
page_0543/line_043,page_0543,0.0083,0.0833,36,False,Նոր սիոն ծնեալ։ Զկնի՝ Սուրբ զաստուա-,Նոր սիոն ծնեալ։ Զկնի՝ Սուրբ զաստո�
page_0559/line_001,page_0559,0.0062,0.0571,35,False,Տէս յԱռաջին Հատորն մինչև ՚ի չորրորդ,Տէս յԱռաջին Հատորն մինչև ՚ի չորրո�
page_0559/line_069,page_0559,0.0035,0.0,36,False,"5. Շբ. ԲՁ. Նիկողայոսի, —— եւ Գրիգորի","5. Շբ. ԲՁ. Նիկողայոսի, —— եւ Գրիգորի"
page_0543/line_057,page_0543,0.0032,0.0,33,False,աստւոած յիշեա։ Սաղ. ՃԽԴ. Արքայու-,աստւոած յիշեա։ Սաղ. ՃԽԴ. Արքայու-
page_0543/line_033,page_0543,0.003,0.0556,36,False,"Արարչական, ըստ պատշաճին. եթէ ՚ի Կիւ-","Արարչական, ըստ պատշաճին. եթէ ՚ի Կի�"
page_0051/line_026,page_0051,0.0028,0.1282,39,False,Սաղմոս ՚ի Դաւիթ. առ ՚ի յիշատակ շաբաթու։,Սաղմոս ՚ի Դաւիթ. առ ՚ի յիշատակ շաբ�
page_0051/line_025,page_0051,0.0028,0.0,10,False,ՍԱՂՄՈՍ ԼԷ.,ՍԱՂՄՈՍ ԼԷ.
page_0300/line_055,page_0300,0.0023,0.0,33,False,"Քարոզ՝ Ծննդեան Քրիսոտոսի, եւ Աւե-","Քարոզ՝ Ծննդեան Քրիսոտոսի, եւ Աւե-"
page_0543/line_056,page_0543,0.0017,0.0294,34,False,րութեան։ Ճաշու շարական գձ. Քրիստոս,րութեան։ Ճաշու շարական գձ. Քրիստո�
page_0543/line_041,page_0543,0.0017,0.0833,36,False,մութիւնք։ Յերեկոյին Մեսե. Իջցէ որպէս,մութիւնք։ Յերեկոյին Մեսե. Իջցէ որ�
page_0543/line_042,page_0543,0.0016,0.0556,36,False,"զանձրեւ։ Քարոզ, Մայր սուրբ։ Հմբ. դձ.","զանձրեւ։ Քարոզ, Մայր սուրբ։ Հմբ. դ�"
page_0499/line_092,page_0499,0.0013,0.0,34,False,նմեմ։ Գործք. ԻԷ. 1. Իբրեւ հրամայե-,նմեմ։ Գործք. ԻԷ. 1. Իբրեւ հրամայե-
page_0543/line_052,page_0543,0.0013,0.0,34,False,"Եւ ապա պահք Յիսնակամտին, բայց տօնք","Եւ ապա պահք Յիսնակամտին, բայց տօնք"
page_0251/line_033,page_0251,0.0012,0.0,22,False,եւ միշտ. Ալէլուա. ալէ.,եւ միշտ. Ալէլուա. ալէ.
page_0543/line_004,page_0543,0.0011,0.0,32,False,Արաքեալն Փիլիպ. Դ. 8. Այսուհետեւ,Արաքեալն Փիլիպ. Դ. 8. Այսուհետեւ
page_0543/line_030,page_0543,0.0011,0.0,34,False,1 ահիւն աստուծոյ։ Ալէ. Հոգին սուրբ,1 ահիւն աստուծոյ։ Ալէ. Հոգին սուրբ
page_0559/line_053,page_0559,0.001,0.0,31,False,16. Բշ. ԴԿ. Պահք Յիսնակաց. հարց,16. Բշ. ԴԿ. Պահք Յիսնակաց. հարց
page_0559/line_028,page_0559,0.001,0.0,33,False,11. Կիր. ԲԿ. հինգերորդ։ համբ. բկ.,11. Կիր. ԲԿ. հինգերորդ։ համբ. բկ.
page_0451/line_013,page_0451,0.0008,0.0,24,False,եւ թշնամեաց իմոց եւ ատե-,եւ թշնամեաց իմոց եւ ատե-
page_0559/line_002,page_0559,0.0008,0.0,32,False,"Կիւրակէն, պահելով զկարգ տեղւոյս։","Կիւրակէն, պահելով զկարգ տեղւոյս։"
page_0559/line_073,page_0559,0.0008,0.0278,36,False,6. Կիր. ԲԿ. Երրորդ։ Բարեկենդան սուրբ,6. Կիր. ԲԿ. Երրորդ։ Բարեկենդան սուր�
page_0559/line_008,page_0559,0.0008,0.0,33,False,7. Բշ. ԱԿ. Պահք սուրբ Խաչին։ Հարց,7. Բշ. ԱԿ. Պահք սուրբ Խաչին։ Հարց
page_0543/line_087,page_0543,0.0007,0.0,30,False,Իմաստոթեամբ. վ. 18. շնորհք ընդ,Իմաստոթեամբ. վ. 18. շնորհք ընդ
page_0559/line_066,page_0559,0.0007,0.0,9,False,Դեկտեմբեր,Դեկտեմբեր
page_0451/line_024,page_0451,0.0007,0.0,24,False,"ըւ յովհաննու մկրտչին, եւ","ըւ յովհաննու մկրտչին, եւ"
page_0559/line_040,page_0559,0.0007,0.0,34,False,31. Շբ. ԴԿ. Ամենայն Սրբոց՝ հնոց եւ,31. Շբ. ԴԿ. Ամենայն Սրբոց՝ հնոց եւ
page_0499/line_071,page_0499,0.0007,0.0,30,False,Սաղ. ՃԼԹ. Ապրեցո։ Տէր կարդացի.,Սաղ. ՃԼԹ. Ապրեցո։ Տէր կարդացի.
page_0499/line_050,page_0499,0.0007,0.0,32,False,Առ գետս. Խոստովան. Տէր փորձեցեր։,Առ գետս. Խոստովան. Տէր փորձեցեր։
page_0200/line_003,page_0200,0.0007,0.0,13,False,գլխոց լերանց։,գլխոց լերանց։
page_0543/line_047,page_0543,0.0007,0.1905,42,False,"Աստի եւս մինչեւ ՚ի վերջն, թէպէտ դնին տօնքդ","Աստի եւս մինչեւ ՚ի վերջն, թէպէտ դն�"
page_0559/line_038,page_0559,0.0006,0.0,31,False,28. Դշ. ԳՁ. հարց դձ հարցն մերոց,28. Դշ. ԳՁ. հարց դձ հարցն մերոց
page_0543/line_048,page_0543,0.0006,0.2609,46,False,և միջոցդ իբրեւ անշարժք. սակայն ոմանք տօնք շար-,և միջոցդ իբրեւ անշարժք. սակայն ոմա
page_0559/line_005,page_0559,0.0006,0.0,27,False,սուրբ Խաչի պահոցն։ Հարց գկ.,սուրբ Խաչի պահոցն։ Հարց գկ.
page_0543/line_074,page_0543,0.0006,0.0,34,False,գոհութեամբ։ Ալէ. ՚ի ձայնէն։ Աւետա-,գոհութեամբ։ Ալէ. ՚ի ձայնէն։ Աւետա-
page_0559/line_070,page_0559,0.0006,0.0,27,False,"սքանչեալգործ հայրապետացն, և","սքանչեալգործ հայրապետացն, և"
page_0499/line_030,page_0499,0.0006,0.0,36,False,ԻԴ. 27. Եւ ՚ի կատարիլ երկուց. վ. ԻԵ.,ԻԴ. 27. Եւ ՚ի կատարիլ երկուց. վ. ԻԵ.
page_0543/line_080,page_0543,0.0006,0.0,36,False,քեալն Կողոս. Գ. 15. Եղբարք գոհացողք.,քեալն Կողոս. Գ. 15. Եղբարք գոհացողք.
page_0543/line_053,page_0543,0.0006,0.0,7,False,ոչ գոն։,ոչ գոն։
page_0051/line_037,page_0051,0.0006,0.0,23,False,"Նեխեցան փտեցան վէրք իմ,","Նեխեցան փտեցան վէրք իմ,"
page_0559/line_013,page_0559,0.0006,0.0,34,False,13. Կիր. ԴԿ. Խաչվերաց։ Տես յԱռաջին,13. Կիր. ԴԿ. Խաչվերաց։ Տես յԱռաջին
page_0335/line_031,page_0335,0.0006,0.0,15,False,զկնի Ողորմեաին։,զկնի Ողորմեաին։
page_0499/line_043,page_0499,0.0006,0.0,33,False,Գան միւսանգամ. վ. ԺԲ. 17. եւ զար-,Գան միւսանգամ. վ. ԺԲ. 17. եւ զար-
page_0559/line_067,page_0559,0.0006,0.0,31,False,2. Դշ ԴԿ. հարց աղց. դկ. Օրհնեալ,2. Դշ ԴԿ. հարց աղց. դկ. Օրհնեալ
page_0200/line_005,page_0200,0.0005,0.0,23,False,"պտուղ նորա, եւ ծաղկեսցի","պտուղ նորա, եւ ծաղկեսցի"
page_0300/line_052,page_0300,0.0005,0.0,30,False,"և այլն, տես ՚ի վերայ երես 295։","և այլն, տես ՚ի վերայ երես 295։"
page_0499/line_012,page_0499,0.0005,0.0,33,False,ընդ նմա։ Սաղ. ԽԶ. Համբարձաւ։ Կաթ.,ընդ նմա։ Սաղ. ԽԶ. Համբարձաւ։ Կաթ.
page_0451/line_058,page_0451,0.0005,0.0,24,False,կամ աւուրս շնորհիւ։ Լուր,կամ աւուրս շնորհիւ։ Լուր
page_0559/line_003,page_0559,0.0005,0.0,9,False,Սեպտեմբեր,Սեպտեմբեր
page_0543/line_040,page_0543,0.0005,0.0571,35,False,"աւուր պատշաճին։ Սրբասացութիւն, Բազ-","աւուր պատշաճին։ Սրբասացութիւն, Բա"
page_0499/line_076,page_0499,0.0005,0.0,33,False,ԱԼէ. սաղ. ԻԳ. Համբարձէք։ Աւետարան,ԱԼէ. սաղ. ԻԳ. Համբարձէք։ Աւետարան
page_0200/line_025,page_0200,0.0005,0.0,18,False,բերանով իմով. ալէ-,բերանով իմով. ալէ-
page_0499/line_029,page_0499,0.0005,0.0,33,False,նեցէք. Օրհնեցէք. Խոստովան։ Գործք.,նեցէք. Օրհնեցէք. Խոստովան։ Գործք.
page_0559/line_090,page_0559,0.0005,0.0,32,False,23. Դշ. ԳՁ. հարց դկ. Օրհնեալ տէր,23. Դշ. ԳՁ. հարց դկ. Օրհնեալ տէր
page_0543/line_085,page_0543,0.0005,0.0,31,False,շարական դկ. Որ յանէից։ Սաղ. ՂԷ.,շարական դկ. Որ յանէից։ Սաղ. ՂԷ.
page_0543/line_079,page_0543,0.0005,0.0,33,False,Ճաշու սաղ. ՂԸ. Բարձր արարէք։ Առա-,Ճաշու սաղ. ՂԸ. Բարձր արարէք։ Առա-
page_0499/line_052,page_0499,0.0005,0.0,34,False,՚ի վաղիւ լուիցես։ Սաղ. ԽԶ. Համբար-,՚ի վաղիւ լուիցես։ Սաղ. ԽԶ. Համբար-
page_0559/line_018,page_0559,0.0005,0.0,31,False,21. Բշ. ԴԿ. Պահք Վարագայ Խաչին։,21. Բշ. ԴԿ. Պահք Վարագայ Խաչին։
page_0499/line_003,page_0499,0.0005,0.0,33,False,ժ. 46. Եւ գան յերիքով. վ. ԺԱ. 11.,ժ. 46. Եւ գան յերիքով. վ. ԺԱ. 11.
page_0559/line_017,page_0559,0.0005,0.0,6,False,հագին։,հագին։
page_0335/line_032,page_0335,0.0005,0.0,24,False,Օրհնեմք ըզքեզ հայր անըս-,Օրհնեմք ըզքեզ հայր անըս-
page_0559/line_042,page_0559,0.0005,0.0,28,False,Տես և զայլ մնացեալսն յԱռաջին,Տես և զայլ մնացեալսն յԱռաջին
page_0559/line_085,page_0559,0.0005,0.0,28,False,ցեալ։ և Սքանչելի։ և հրաշալի։,ցեալ։ և Սքանչելի։ և հրաշալի։
page_0499/line_084,page_0499,0.0005,0.0,31,False,աւետարան Մարկ. ԺԲ. 35. Պատասխա-,աւետարան Մարկ. ԺԲ. 35. Պատասխա-
page_0543/line_049,page_0543,0.0004,0.2609,46,False,ժին երբեմն. եւ զկնի սուրբ Յակոբայ միջոցն յաւե-,ժին երբեմն. եւ զկնի սուրբ Յակոբայ �
page_0559/line_011,page_0559,0.0004,0.0,32,False,8. Գշ. ԲՁ. Տօն ծննդեան սուրբ Աս-,8. Գշ. ԲՁ. Տօն ծննդեան սուրբ Աս-
page_0559/line_043,page_0559,0.0004,0.0,31,False,"հատորն մինչեւ ՚ի վերջն, պահելով","հատորն մինչեւ ՚ի վերջն, պահելով"
page_0499/line_054,page_0499,0.0004,0.0,36,False,սուսի. վ. 7. ընկալեալ դատաստան։ Ալէ.,սուսի. վ. 7. ընկալեալ դատաստան։ Ալէ.
page_0300/line_014,page_0300,0.0004,0.0,31,False,Քարոզ՝ մարտիրոսաց եւ ճգնաւորաց։,Քարոզ՝ մարտիրոսաց եւ ճգնաւորաց։
page_0499/line_051,page_0499,0.0004,0.0,34,False,Գործք. ԻԵ. 13. Իբրեւ անցին. վ. 22.,Գործք. ԻԵ. 13. Իբրեւ անցին. վ. 22.
page_0543/line_013,page_0543,0.0004,0.0286,35,False,Որ նախիմաց. իւր սարօքն։ Իսկ յառաւօ-,Որ նախիմաց. իւր սարօքն։ Իսկ յառաւօ
page_0559/line_064,page_0559,0.0004,0.0,28,False,նըսկիզբն բանդ։ Համբ. գձ. Փա-,նըսկիզբն բանդ։ Համբ. գձ. Փա-
page_0559/line_023,page_0559,0.0004,0.0,32,False,27. Կիր. ԳԿ. Երրորդ։ Տօն Վարագայ,27. Կիր. ԳԿ. Երրորդ։ Տօն Վարագայ
page_0499/line_011,page_0499,0.0004,0.0,32,False,Եւ յետ հինգ աւուրց. վ. 20. խօսէր,Եւ յետ հինգ աւուրց. վ. 20. խօսէր
page_0559/line_021,page_0559,0.0004,0.0,32,False,23. Դշ. ԱԿ. հարց դձ. հարցն մերոց,23. Դշ. ԱԿ. հարց դձ. հարցն մերոց
page_0451/line_010,page_0451,0.0004,0.0,25,False,"քեզ, իմոց և օտարաց. ծանօ-","քեզ, իմոց և օտարաց. ծանօ-"
page_0543/line_012,page_0543,0.0004,0.0,32,False,կոյին նախատօնակ արա։ Շարական ակ.,կոյին նախատօնակ արա։ Շարական ակ.
page_0543/line_061,page_0543,0.0004,0.0,37,False,Ղուկ. ԺԱ. 14. Եւ հանէր դեւ մի. վ. 23.,Ղուկ. ԺԱ. 14. Եւ հանէր դեւ մի. վ. 23.
page_0451/line_029,page_0451,0.0004,0.0,23,False,"վարդապետաց, մարտիրոսաց,","վարդապետաց, մարտիրոսաց,"
page_0499/line_032,page_0499,0.0004,0.0,34,False,Համբարձաւ։ Կաթ. դ. Յովհ. Ա. 1. Յե-,Համբարձաւ։ Կաթ. դ. Յովհ. Ա. 1. Յե-
page_0499/line_077,page_0499,0.0004,0.0,31,False,Յովհ. ԺԳ. 1. Յառաջագոյն քան. վ.,Յովհ. ԺԳ. 1. Յառաջագոյն քան. վ.
page_0499/line_031,page_0499,0.0004,0.0,30,False,12. առ կայսր երթիջիր։ Սաղ. ԽԶ.,12. առ կայսր երթիջիր։ Սաղ. ԽԶ.
page_0543/line_058,page_0543,0.0004,0.0,33,False,թիւն։ Առաքեալն Կողոս. Ա. 1. Պօղոս,թիւն։ Առաքեալն Կողոս. Ա. 1. Պօղոս
page_0200/line_038,page_0200,0.0004,0.0,23,False,ճշմարտութիւն քո յեկեցե-,ճշմարտութիւն քո յեկեցե-
page_0559/line_048,page_0559,0.0004,0.0,35,False,8. Կիր. ԴԿ. Իններորդ։ Համբ. դկ. հը-,8. Կիր. ԴԿ. Իններորդ։ Համբ. դկ. հը-
page_0200/line_061,page_0200,0.0004,0.0,24,False,"տեսցէ զմահ, կամ փըրկեսցէ","տեսցէ զմահ, կամ փըրկեսցէ"
page_0543/line_018,page_0543,0.0004,0.0,34,False,"ԿԷ. Տէր տացէ զբան. փոխ, Յարիցէ աս-","ԿԷ. Տէր տացէ զբան. փոխ, Յարիցէ աս-"
page_0543/line_070,page_0543,0.0004,0.0,31,False,Չորեքշաբաթ. հարց ապաշխարութեան։,Չորեքշաբաթ. հարց ապաշխարութեան։
page_0559/line_061,page_0559,0.0004,0.0,31,False,23. Բշ. ԴՁ. Յուլիանեայ եւ Վասի-,23. Բշ. ԴՁ. Յուլիանեայ եւ Վասի-
page_0559/line_030,page_0559,0.0004,0.0,34,False,18. Կիր. ԲՁ. Վեցերորդ։ Համբ. բձ. Ի,18. Կիր. ԲՁ. Վեցերորդ։ Համբ. բձ. Ի
page_0499/line_072,page_0499,0.0004,0.0,34,False,Ձայնիւ։ Գործք. ԻԵ. 23. Եւ ՚ի վաղիւ,Ձայնիւ։ Գործք. ԻԵ. 23. Եւ ՚ի վաղիւ
page_0499/line_028,page_0499,0.0004,0.0,32,False,ողորմութեամբ։ Սաղ. ՃԼԴ. Աստ օրհ-,ողորմութեամբ։ Սաղ. ՃԼԴ. Աստ օրհ-
page_0051/line_045,page_0051,0.0004,0.0,24,False,Չարչարեցայ եւ խոնարհ եղէ,Չարչարեցայ եւ խոնարհ եղէ
page_0051/line_001,page_0051,0.0004,0.0,25,False,"զերկիր, եւ զսատակումն մե-","զերկիր, եւ զսատակումն մե-"
page_0543/line_007,page_0543,0.0004,0.0,32,False,ԺԱ. 1. Եւ եղեւ ՚ի տեղւոջ. վ. 13.,ԺԱ. 1. Եւ եղեւ ՚ի տեղւոջ. վ. 13.
page_0335/line_015,page_0335,0.0004,0.0,22,False,Պատարագ աստուծոյ՝ հոգի,Պատարագ աստուծոյ՝ հոգի
page_0335/line_012,page_0335,0.0004,0.0,22,False,"րագս մատուցանեմք, բայց","րագս մատուցանեմք, բայց"
page_0559/line_015,page_0559,0.0004,0.0,27,False,"կէն, պահելով զկարգ տեղւոյս։","կէն, պահելով զկարգ տեղւոյս։"
page_0499/line_093,page_0499,0.0004,0.0,32,False,ցաւ. վ. ԻԸ. 16. պահապանաւ իւրով։,ցաւ. վ. ԻԸ. 16. պահապանաւ իւրով։
page_0499/line_059,page_0499,0.0004,0.0,32,False,ԻԲ. 1. Դարձեալ պատասխանի. վ. 14.,ԻԲ. 1. Դարձեալ պատասխանի. վ. 14.
page_0300/line_057,page_0300,0.0004,0.0,15,False,Տեառնընդառաջին։,Տեառնընդառաջին։
page_0499/line_024,page_0499,0.0004,0.0,32,False,Երեքշաբաթ. ահ. գձ. Օգնական։ Հարց,Երեքշաբաթ. ահ. գձ. Օգնական։ Հարց
page_0335/line_033,page_0335,0.0003,0.0,26,False,"կիզբն էից էակ ՚ի յանգոյից,","կիզբն էից էակ ՚ի յանգոյից,"
page_0559/line_034,page_0559,0.0003,0.0,6,False,տօն է։,տօն է։
page_0543/line_055,page_0543,0.0003,0.0,30,False,Երկուշաբաթ պահոց. Հարց ապաշխա-,Երկուշաբաթ պահոց. Հարց ապաշխա-
page_0499/line_015,page_0499,0.0003,0.0,32,False,բարձէք։ Աւետարան Յովհ. ԺԲ. 24 Ա-,բարձէք։ Աւետարան Յովհ. ԺԲ. 24 Ա-
page_0499/line_063,page_0499,0.0003,0.0,32,False,տոս։ Արձակման աւետարան Մարկ. ԺԲ.,տոս։ Արձակման աւետարան Մարկ. ԺԲ.
page_0051/line_018,page_0051,0.0003,0.0,25,False,Օգնեսցէ նոցա տէր և փրկես-,Օգնեսցէ նոցա տէր և փրկես-
page_0499/line_018,page_0499,0.0003,0.0,34,False,ԻԱ. 18. Եւ այգուցն. վ. 32. հաւատալ,ԻԱ. 18. Եւ այգուցն. վ. 32. հաւատալ
page_0051/line_058,page_0051,0.0003,0.0,22,False,"կացին, եւ մերձաւորք իմ","կացին, եւ մերձաւորք իմ"
page_0499/line_074,page_0499,0.0003,0.0,34,False,Կաթ. Յուդայ. Ա. 8. Ըստ նմին օրինա-,Կաթ. Յուդայ. Ա. 8. Ըստ նմին օրինա-
page_0251/line_043,page_0251,0.0003,0.0,24,False,յելչութիւն ըզգեցաւ։ Զգե-,յելչութիւն ըզգեցաւ։ Զգե-
page_0200/line_030,page_0200,0.0003,0.0,23,False,"Եդի ուխտ ընտրելոց իմոց,","Եդի ուխտ ընտրելոց իմոց,"
page_0543/line_060,page_0543,0.0003,0.0,30,False,Ալէ. Եկայք ցնծասցուք։ Աւետարան,Ալէ. Եկայք ցնծասցուք։ Աւետարան
page_0559/line_057,page_0559,0.0003,0.0,34,False,22. Կիր. ԳԿ. Առաջին։ Հարց աձ. Օրհ-,22. Կիր. ԳԿ. Առաջին։ Հարց աձ. Օրհ-
page_0543/line_089,page_0543,0.0003,0.0,35,False,ԺԲ. 1. Որովք ՚ի կուտիլ. վ. 12. պարտ,ԺԲ. 1. Որովք ՚ի կուտիլ. վ. 12. պարտ
page_0335/line_011,page_0335,0.0003,0.0,21,False,Թէ կամեցեալ էիր պատա-,Թէ կամեցեալ էիր պատա-
page_0543/line_083,page_0543,0.0003,0.0,34,False,այնորիկ. վ. 54. չարախօսէին զնմանէ։,այնորիկ. վ. 54. չարախօսէին զնմանէ։
page_0499/line_035,page_0499,0.0003,0.0,36,False,Յովհ. ԺԲ. 27. Բայց այժմ անձն. վ. 43.,Յովհ. ԺԲ. 27. Բայց այժմ անձն. վ. 43.
page_0051/line_039,page_0051,0.0003,0.0,5,False,իմոյ։,իմոյ։
page_0559/line_014,page_0559,0.0003,0.0,33,False,հատորն մինչեւ ՚ի տասներորդ Կիւրա-,հատորն մինչեւ ՚ի տասներորդ Կիւրա-
page_0451/line_025,page_0451,0.0003,0.0,22,False,սրբոյն ստեփանոսի նախա-,սրբոյն ստեփանոսի նախա-
page_0251/line_047,page_0251,0.0003,0.0,21,False,Փառք եւ երկրպագ. այժմ,Փառք եւ երկրպագ. այժմ
page_0559/line_049,page_0559,0.0003,0.0,28,False,"րեշտակացն, և հրեշտակ քո տէր։","րեշտակացն, և հրեշտակ քո տէր։"
page_0499/line_055,page_0499,0.0003,0.0,34,False,սաղ. ԻԳ. Համբարձէք։ Աւետարան Յովհ.,սաղ. ԻԳ. Համբարձէք։ Աւետարան Յովհ.
page_0499/line_005,page_0499,0.0003,0.0,33,False,"Երկուշաբաթ. ահ, բկ. Փարաւոն։ Հարց","Երկուշաբաթ. ահ, բկ. Փարաւոն։ Հարց"
page_0200/line_060,page_0200,0.0003,0.0,24,False,Ով է մարդ որ կեցցէ եւ ոչ,Ով է մարդ որ կեցցէ եւ ոչ
page_0335/line_035,page_0335,0.0003,0.0,26,False,ղոյ և ստեղծեր մարդ ՚ի պատ-,ղոյ և ստեղծեր մարդ ՚ի պատ-
page_0559/line_047,page_0559,0.0003,0.0,6,False,անճառ։,անճառ։
page_0051/line_008,page_0051,0.0003,0.0,20,False,Պահեա զանբծութիւն եւ,Պահեա զանբծութիւն եւ
page_0051/line_040,page_0051,0.0003,0.0,22,False,Տառապեցայ եւ խոնարհ ե-,Տառապեցայ եւ խոնարհ ե-
page_0543/line_081,page_0543,0.0003,0.0,35,False,վ. Դ. 4. ինձ խօսիլ։ Ալէ. Բարձր արա-,վ. Դ. 4. ինձ խօսիլ։ Ալէ. Բարձր արա-
page_0499/line_014,page_0499,0.0003,0.0,33,False,նորհք ընդ ձեզ։ Ալէ. սաղ. ԻԳ. Համ-,նորհք ընդ ձեզ։ Ալէ. սաղ. ԻԳ. Համ-
page_0499/line_020,page_0499,0.0003,0.0,31,False,առաջի։ Հմբ. դձ. Որք տնկակիցք. և,առաջի։ Հմբ. դձ. Որք տնկակիցք. և
page_0300/line_027,page_0300,0.0003,0.0,26,False,ծոյ. զի խաղաղասցին խռովու-,ծոյ. զի խաղաղասցին խռովու-
page_0559/line_059,page_0559,0.0003,0.0,24,False,Ըզքո յարութիւնդ. և Առեալ,Ըզքո յարութիւնդ. և Առեալ
page_0499/line_073,page_0499,0.0003,0.0,33,False,անդր վ. ԻԶ. 32. բողոքել ՚ի կայսր.,անդր վ. ԻԶ. 32. բողոքել ՚ի կայսր.
page_0300/line_029,page_0300,0.0003,0.0,25,False,ձակմունըք թըշնամեաց. տըն-,ձակմունըք թըշնամեաց. տըն-
page_0543/line_090,page_0543,0.0003,0.0,10,False,իցէ խօսիլ։,իցէ խօսիլ։
page_0559/line_079,page_0559,0.0003,0.0,33,False,13. Կիր. ԲՁ. Չորրորդ։ Հարց բկ. Որ,13. Կիր. ԲՁ. Չորրորդ։ Հարց բկ. Որ
page_0559/line_075,page_0559,0.0003,0.0,26,False,թագաւորդ ես։ Հմբ. բկ. Կան-,թագաւորդ ես։ Հմբ. բկ. Կան-
page_0543/line_019,page_0543,0.0003,0.0,32,False,տուած։ Գիրք Երգ երգոց Ա. 1. Համ-,տուած։ Գիրք Երգ երգոց Ա. 1. Համ-
page_0499/line_019,page_0499,0.0003,0.0,32,False,"նմա։ Մեսեդի, Երգեցէք տեառն. Մտէք","նմա։ Մեսեդի, Երգեցէք տեառն. Մտէք"
page_0543/line_072,page_0543,0.0003,0.0,34,False,Սաղ. ՁԵ. Կեցո զծառայս քո։ Առաքեալն,Սաղ. ՁԵ. Կեցո զծառայս քո։ Առաքեալն
page_0543/line_065,page_0543,0.0003,0.0,36,False,սուրբ քո։ Առաքեալն Կողոս. Ա. 12. Եղ-,սուրբ քո։ Առաքեալն Կողոս. Ա. 12. Եղ-
page_0200/line_024,page_0200,0.0003,0.0,24,False,մեցից ըզճշմարտութիւնս քո,մեցից ըզճշմարտութիւնս քո
page_0559/line_033,page_0559,0.0003,0.0,33,False,25. Կիր. ԱԿ. Եօթներորդ։ Գիւտ Խաչի,25. Կիր. ԱԿ. Եօթներորդ։ Գիւտ Խաչի
page_0335/line_004,page_0335,0.0003,0.0,21,False,"Փրկեա զիս յարենէ, աս-","Փրկեա զիս յարենէ, աս-"
page_0051/line_031,page_0051,0.0003,0.0,25,False,Ոչ գոյ բժշկութիւն մարմնոյ,Ոչ գոյ բժշկութիւն մարմնոյ
page_0499/line_068,page_0499,0.0003,0.0,31,False,աւետարան Ղուկ. Ի. 28. Մատուցեալ,աւետարան Ղուկ. Ի. 28. Մատուցեալ
page_0499/line_080,page_0499,0.0003,0.0,31,False,ԻԲ. 16. Յայնժամ գնացեալ. վ. 46.,ԻԲ. 16. Յայնժամ գնացեալ. վ. 46.
page_0543/line_044,page_0543,0.0003,0.0,31,False,"ծածինն. Կեցո։ Աղօթք, Ընկալ տէր։","ծածինն. Կեցո։ Աղօթք, Ընկալ տէր։"
page_0559/line_050,page_0559,0.0003,0.0,33,False,15. Կիր ԴՁ. Տասներորդ։ Բարեկենդան,15. Կիր ԴՁ. Տասներորդ։ Բարեկենդան
